"","screenName","number","label","Last.Name","First.Name","Position.Title","Followers"
"1","aigkenham",913,"Engagement","Ham","Ken","President and Founder of Answers in Genesis",40200
"2","aigkenham",1367,"No Engagement","Ham","Ken","President and Founder of Answers in Genesis",40200
"3","AndersonSpeaks",12,"Engagement","Anderson","David","Pastor and Author",49400
"4","AndersonSpeaks",16,"No Engagement","Anderson","David","Pastor and Author",49400
"5","AndyAndrews",92,"Engagement","Andrews","Andy","Author",191000
"6","AndyAndrews",1061,"No Engagement","Andrews","Andy","Author",191000
"7","AndyStanley",53,"Engagement","Stanley","Andy","Pastor and Author",543000
"8","AndyStanley",147,"No Engagement","Stanley","Andy","Pastor and Author",543000
"9","BethMooreLPM",605,"No Engagement","Moore","Beth","Ministry Founder and Author",724000
"10","BethMooreLPM",2520,"Engagement","Moore","Beth","Ministry Founder and Author",724000
"11","BillHybels",22,"Engagement","Hybels","Billy","Pastor",267000
"12","BillHybels",383,"No Engagement","Hybels","Billy","Pastor",267000
"13","BillyGraham",55,"No Engagement","Graham","Billy","Evangelist",321000
"14","BillyGraham",13,"Engagement","Graham","Billy","Evangelist",321000
"15","bobrobertsjr",135,"No Engagement","Roberts Jr","Bob","Pastor",12500
"16","bobrobertsjr",129,"Engagement","Roberts Jr","Bob","Pastor",12500
"17","brianjohnsonM",87,"Engagement","Johnson","Brian","Singer and Worship Leader",103000
"18","brianjohnsonM",107,"No Engagement","Johnson","Brian","Singer and Worship Leader",103000
"19","BurkParsons",129,"No Engagement","Parsons","Burk","Pastor",33900
"20","BurkParsons",27,"Engagement","Parsons","Burk","Pastor",33900
"21","Chris_Hodges",921,"Engagement","Hodges","Chris","Pastor",77900
"22","Chris_Hodges",2073,"No Engagement","Hodges","Chris","Pastor",77900
"23","CJMahaney",96,"No Engagement","Mahaney","C.J.","Pastor",53400
"24","CJMahaney",3,"Engagement","Mahaney","C.J.","Pastor",53400
"25","CoachJoeGibbs",38,"Engagement","Gibs","Joel","Former Football Coach",5716
"26","CoachJoeGibbs",8,"No Engagement","Gibs","Joel","Former Football Coach",5716
"27","DaveRamsey",662,"No Engagement","Ramsey","Dave","Radio Show Host and Author",753000
"28","DaveRamsey",199,"Engagement","Ramsey","Dave","Radio Show Host and Author",753000
"29","DavidBartonWB",2358,"No Engagement","Barton","David","Company President and Author",28000
"30","DavidBartonWB",818,"Engagement","Barton","David","Company President and Author",28000
"31","DougHeisel",155,"No Engagement","Heisel","Doug","Pastor",1964
"32","DougHeisel",74,"Engagement","Heisel","Doug","Pastor",1964
"33","douglaswils",70,"Engagement","Wilson","Douglas","Pastor",23700
"34","douglaswils",131,"No Engagement","Wilson","Douglas","Pastor",23700
"35","DouthatNYT",425,"Engagement","Douthat","Ross","Author and Columnist",83200
"36","DouthatNYT",391,"No Engagement","Douthat","Ross","Author and Columnist",83200
"37","Dr_Tim_LaHaye",520,"No Engagement","LaHaye","Tim","Author and Minister",1152
"38","Dr_Tim_LaHaye",26,"Engagement","LaHaye","Tim","Author and Minister",1152
"39","DrGaryChapman",451,"No Engagement","Chapman","Gary","Author",49900
"40","DrGaryChapman",32,"Engagement","Chapman","Gary","Author",49900
"41","DrJamesCDobson",1314,"Engagement","Dobson","James","Author and Psychologist",39100
"42","DrJamesCDobson",1704,"No Engagement","Dobson","James","Author and Psychologist",39100
"43","Franklin_Graham",615,"No Engagement","Graham","Franklin","Evangelist",644000
"44","Franklin_Graham",252,"Engagement","Graham","Franklin","Evangelist",644000
"45","JakePeavy_22",315,"Engagement","Peavy","Jake","Professional Baseball Player",123000
"46","JakePeavy_22",221,"No Engagement","Peavy","Jake","Professional Baseball Player",123000
"47","JaySekulow",1745,"No Engagement","Sekulow","Jay","Attorney and Talk Show Host",64300
"48","JaySekulow",310,"Engagement","Sekulow","Jay","Attorney and Talk Show Host",64300
"49","JerryJrFalwell",13,"Engagement","Falwell","Jerry","Liberty University President",19700
"50","JerryJrFalwell",3,"No Engagement","Falwell","Jerry","Liberty University President",19700
"51","joechampion",322,"Engagement","Champion","Joel","Pastor",15900
"52","joechampion",385,"No Engagement","Champion","Joel","Pastor",15900
"53","JoelOsteen",1628,"Engagement","Osteen","Joel","Pastor",4680000
"54","JoelOsteen",1540,"No Engagement","Osteen","Joel","Pastor",4680000
"55","JohnPiper",76,"Engagement","Piper","John","Pastor and Author",860000
"56","JohnPiper",2660,"No Engagement","Piper","John","Pastor and Author",860000
"57","JoyceMeyer",2732,"No Engagement","Meyer","Joyce","TV and Radio Show Host",4050000
"58","JoyceMeyer",156,"Engagement","Meyer","Joyce","TV and Radio Show Host",4050000
"59","KirkCameron",20,"Engagement","Cameron","Kirk","Actor",61300
"60","KirkCameron",1873,"No Engagement","Cameron","Kirk","Actor",61300
"61","larrystockstill",345,"No Engagement","Stockstill","Larry","Pastor",19800
"62","larrystockstill",31,"Engagement","Stockstill","Larry","Pastor",19800
"63","lecrae",199,"Engagement","","Lecrae","Hip Hop Artist",1090000
"64","lecrae",261,"No Engagement","","Lecrae","Hip Hop Artist",1090000
"65","MattChandler74",195,"No Engagement","Chandler","Matt","Pastor",383000
"66","MattChandler74",356,"Engagement","Chandler","Matt","Pastor",383000
"67","mattfry",333,"Engagement","Fry","Matt","Pastor",16200
"68","mattfry",424,"No Engagement","Fry","Matt","Pastor",16200
"69","MaxLucado",57,"Engagement","Lucado","Max","Pastor and Author",1290000
"70","MaxLucado",458,"No Engagement","Lucado","Max","Pastor and Author",1290000
"71","MJGerson",51,"No Engagement","Gerson","Michael","Op-Ed Columnist",16400
"72","MJGerson",8,"Engagement","Gerson","Michael","Op-Ed Columnist",16400
"73","MW55",159,"Engagement","Waltrip","Michael","Stock Car Racing Driver",386000
"74","MW55",95,"No Engagement","Waltrip","Michael","Stock Car Racing Driver",386000
"75","PastorChoco",1004,"No Engagement","De Jesus","Wilfredo","Pastor and Author",13400
"76","PastorChoco",96,"Engagement","De Jesus","Wilfredo","Pastor and Author",13400
"77","PastorJohnHagee",184,"No Engagement","Hagee","John","Pastor and CEO",238000
"78","PastorJohnHagee",306,"Engagement","Hagee","John","Pastor and CEO",238000
"79","PastorMark",1573,"No Engagement","Driscoll","Mark","Pastor",525000
"80","PastorMark",137,"Engagement","Driscoll","Mark","Pastor",525000
"81","PriscillaShirer",186,"No Engagement","Shirer","Priscilla","Author",227000
"82","PriscillaShirer",268,"Engagement","Shirer","Priscilla","Author",227000
"83","rayortlund",187,"No Engagement","Ortlund","Ray","Pastor",23700
"84","rayortlund",16,"Engagement","Ortlund","Ray","Pastor",23700
"85","rdland",165,"No Engagement","Land","Richard","Southern Evangelical Seminary President",2079
"86","rdland",127,"Engagement","Land","Richard","Southern Evangelical Seminary President",2079
"87","RealRomaDowney",34,"Engagement","Downey","Roma","TV Producer",140000
"88","RealRomaDowney",64,"No Engagement","Downey","Roma","TV Producer",140000
"89","RevKevDeYoung",163,"Engagement","DeYoung","Kevin","Pastor",91200
"90","RevKevDeYoung",1027,"No Engagement","DeYoung","Kevin","Pastor",91200
"91","rick_bezet",340,"Engagement","Bezet","Rick","Pastor",23700
"92","rick_bezet",438,"No Engagement","Bezet","Rick","Pastor",23700
"93","RickWarren",1948,"No Engagement","Warren","Rick","Pastor",1840000
"94","RickWarren",252,"Engagement","Warren","Rick","Pastor",1840000
"95","RonEdmondson",175,"Engagement","Edmondson","Ron","Pastor and Consultant",137000
"96","RonEdmondson",866,"No Engagement","Edmondson","Ron","Pastor and Consultant",137000
"97","Sarcasticluther",104,"No Engagement","Bolz-Weber","Nadia","Pastor and Author",45800
"98","Sarcasticluther",167,"Engagement","Bolz-Weber","Nadia","Pastor and Author",45800
"99","ScottWilliams",575,"No Engagement","Williams","Scott","Pastor",144000
"100","ScottWilliams",225,"Engagement","Williams","Scott","Pastor",144000
"101","sstrang",924,"No Engagement","Strang","Stephen","CEO of Charisma Media",4055
"102","sstrang",63,"Engagement","Strang","Stephen","CEO of Charisma Media",4055
"103","TDJakesShow",51,"Engagement","Jakes","TD","Pastor and Author",21300
"104","TDJakesShow",307,"No Engagement","Jakes","TD","Pastor and Author",21300
"105","TedHaggard",241,"No Engagement","Haggard","Ted","Pastor",938
"106","TedHaggard",31,"Engagement","Haggard","Ted","Pastor",938
"107","ThomRainer",187,"No Engagement","Rainer","Thom","Author and CEO of LifeWay Christian Resources",228000
"108","ThomRainer",60,"Engagement","Rainer","Thom","Author and CEO of LifeWay Christian Resources",228000
"109","timkellernyc",325,"No Engagement","Keller","Timothy","Pastor",278000
"110","timkellernyc",163,"Engagement","Keller","Timothy","Pastor",278000
"111","tperkins",327,"No Engagement","Perkins","Tony","Lobby Organization President",25100
"112","tperkins",220,"Engagement","Perkins","Tony","Lobby Organization President",25100
"113","VictoriaOsteen",1700,"No Engagement","Osteen","Victoria","Pastor",720000
"114","VictoriaOsteen",1250,"Engagement","Osteen","Victoria","Pastor",720000
"115","Willie_George",36,"No Engagement","George","Willie","Pastor",32200
"116","Willie_George",31,"Engagement","George","Willie","Pastor",32200
"117","williebosshog",40,"No Engagement","Robertson","Willie","TV Personality",2420000
"118","williebosshog",68,"Engagement","Robertson","Willie","TV Personality",2420000
